ID,Mode_anti-theft,Key,Vibration,Acceleration,Distance,Speed,Rules
1,Có,Có,Có,Có,Mức 2,Mức 2,Mất
2,Có,Có,Có,Có,Mức 2,Mức 1,Mất
3,Có,Có,Có,Có,Mức 2,Không,Mất
4,Có,Có,Có,Có,Mức 1,Mức 2,Mất
5,Có,Có,Có,Có,Mức 1,Mức 1,Mất
6,Có,Có,Có,Có,Mức 1,Không,Mất
7,Có,Có,Có,Có,Không,Mức 2,Bỏ
8,Có,Có,Có,Có,Không,Mức 1,Không
9,Có,Có,Có,Có,Không,Không,Không
10,Có,Có,Có,Không,Mức 2,Mức 2,Mất
11,Có,Có,Có,Không,Mức 2,Mức 1,Mất
12,Có,Có,Có,Không,Mức 2,Không,Mất
13,Có,Có,Có,Không,Mức 1,Mức 2,Mất
14,Có,Có,Có,Không,Mức 1,Mức 1,Mất
15,Có,Có,Có,Không,Mức 1,Không,Mất
16,Có,Có,Có,Không,Không,Mức 2,Mất
17,Có,Có,Có,Không,Không,Mức 1,Mất
18,Có,Có,Có,Không,Không,Không,Mất
19,Có,Có,Không,Có,Mức 2,Mức 2,Mất
20,Có,Có,Không,Có,Mức 2,Mức 1,Mất
21,Có,Có,Không,Có,Mức 2,Không,Mất
22,Có,Có,Không,Có,Mức 1,Mức 2,Mất
23,Có,Có,Không,Có,Mức 1,Mức 1,Mất
24,Có,Có,Không,Có,Mức 1,Không,Mất
25,Có,Có,Không,Có,Không,Mức 2,Mất
26,Có,Có,Không,Có,Không,Mức 1,Mất
27,Có,Có,Không,Có,Không,Không,Mất
28,Có,Có,Không,Không,Mức 2,Mức 2,Mất
29,Có,Có,Không,Không,Mức 2,Mức 1,Mất
30,Có,Có,Không,Không,Mức 2,Không,Mất
31,Có,Có,Không,Không,Mức 1,Mức 2,Mất
32,Có,Có,Không,Không,Mức 1,Mức 1,Mất
33,Có,Có,Không,Không,Mức 1,Không,Mất
34,Có,Có,Không,Không,Không,Mức 2,Bỏ
35,Có,Có,Không,Không,Không,Mức 1,Không
36,Có,Có,Không,Không,Không,Không,Không
37,Có,Không,Có,Có,Mức 2,Mức 2,Mất
38,Có,Không,Có,Có,Mức 2,Mức 1,Mất
39,Có,Không,Có,Có,Mức 2,Không,Mất
40,Có,Không,Có,Có,Mức 1,Mức 2,Mất
41,Có,Không,Có,Có,Mức 1,Mức 1,Không
42,Có,Không,Có,Có,Mức 1,Không,Không
43,Có,Không,Có,Có,Không,Mức 2,Bỏ
44,Có,Không,Có,Có,Không,Mức 1,Không
45,Có,Không,Có,Có,Không,Không,Không
46,Có,Không,Có,Không,Mức 2,Mức 2,Mất
47,Có,Không,Có,Không,Mức 2,Mức 1,Mất
48,Có,Không,Có,Không,Mức 2,Không,Mất
49,Có,Không,Có,Không,Mức 1,Mức 2,Mất
50,Có,Không,Có,Không,Mức 1,Mức 1,Không
51,Có,Không,Có,Không,Mức 1,Không,Không
52,Có,Không,Có,Không,Không,Mức 2,Bỏ
53,Có,Không,Có,Không,Không,Mức 1,Không
54,Có,Không,Có,Không,Không,Không,Không
55,Có,Không,Không,Có,Mức 2,Mức 2,Mất
56,Có,Không,Không,Có,Mức 2,Mức 1,Mất
57,Có,Không,Không,Có,Mức 2,Không,Mất
58,Có,Không,Không,Có,Mức 1,Mức 2,Mất
59,Có,Không,Không,Có,Mức 1,Mức 1,Không
60,Có,Không,Không,Có,Mức 1,Không,Không
61,Có,Không,Không,Có,Không,Mức 2,Bỏ
62,Có,Không,Không,Có,Không,Mức 1,Không
63,Có,Không,Không,Có,Không,Không,Không
64,Có,Không,Không,Không,Mức 2,Mức 2,Mất
65,Có,Không,Không,Không,Mức 2,Mức 1,Mất
66,Có,Không,Không,Không,Mức 2,Không,Mất
67,Có,Không,Không,Không,Mức 1,Mức 2,Mất
68,Có,Không,Không,Không,Mức 1,Mức 1,Không
69,Có,Không,Không,Không,Mức 1,Không,Không
70,Có,Không,Không,Không,Không,Mức 2,Bỏ
71,Có,Không,Không,Không,Không,Mức 1,Không
72,Có,Không,Không,Không,Không,Không,Không
73,Không,Có,Có,Có,Mức 2,Mức 2,Không
74,Không,Có,Có,Có,Mức 2,Mức 1,Không
75,Không,Có,Có,Có,Mức 2,Không,Không
76,Không,Có,Có,Có,Mức 1,Mức 2,Không
77,Không,Có,Có,Có,Mức 1,Mức 1,Không
78,Không,Có,Có,Có,Mức 1,Không,Không
79,Không,Có,Có,Có,Không,Mức 2,Bỏ
80,Không,Có,Có,Có,Không,Mức 1,Không
81,Không,Có,Có,Có,Không,Không,Không
82,Không,Có,Có,Không,Mức 2,Mức 2,Không
83,Không,Có,Có,Không,Mức 2,Mức 1,Không
84,Không,Có,Có,Không,Mức 2,Không,Không
85,Không,Có,Có,Không,Mức 1,Mức 2,Không
86,Không,Có,Có,Không,Mức 1,Mức 1,Không
87,Không,Có,Có,Không,Mức 1,Không,Không
88,Không,Có,Có,Không,Không,Mức 2,Bỏ
89,Không,Có,Có,Không,Không,Mức 1,Không
90,Không,Có,Có,Không,Không,Không,Không
91,Không,Có,Không,Có,Mức 2,Mức 2,Không
92,Không,Có,Không,Có,Mức 2,Mức 1,Không
93,Không,Có,Không,Có,Mức 2,Không,Không
94,Không,Có,Không,Có,Mức 1,Mức 2,Không
95,Không,Có,Không,Có,Mức 1,Mức 1,Không
96,Không,Có,Không,Có,Mức 1,Không,Không
97,Không,Có,Không,Có,Không,Mức 2,Bỏ
98,Không,Có,Không,Có,Không,Mức 1,Không
99,Không,Có,Không,Có,Không,Không,Không
100,Không,Có,Không,Không,Mức 2,Mức 2,Không
101,Không,Có,Không,Không,Mức 2,Mức 1,Không
102,Không,Có,Không,Không,Mức 2,Không,Không
103,Không,Có,Không,Không,Mức 1,Mức 2,Không
104,Không,Có,Không,Không,Mức 1,Mức 1,Không
105,Không,Có,Không,Không,Mức 1,Không,Không
106,Không,Có,Không,Không,Không,Mức 2,Bỏ
107,Không,Có,Không,Không,Không,Mức 1,Không
108,Không,Có,Không,Không,Không,Không,Không
109,Không,Không,Có,Có,Mức 2,Mức 2,Không
110,Không,Không,Có,Có,Mức 2,Mức 1,Không
111,Không,Không,Có,Có,Mức 2,Không,Không
112,Không,Không,Có,Có,Mức 1,Mức 2,Không
113,Không,Không,Có,Có,Mức 1,Mức 1,Không
114,Không,Không,Có,Có,Mức 1,Không,Không
115,Không,Không,Có,Có,Không,Mức 2,Bỏ
116,Không,Không,Có,Có,Không,Mức 1,Không
117,Không,Không,Có,Có,Không,Không,Không
118,Không,Không,Có,Không,Mức 2,Mức 2,Không
119,Không,Không,Có,Không,Mức 2,Mức 1,Không
120,Không,Không,Có,Không,Mức 2,Không,Không
121,Không,Không,Có,Không,Mức 1,Mức 2,Không
122,Không,Không,Có,Không,Mức 1,Mức 1,Không
123,Không,Không,Có,Không,Mức 1,Không,Không
124,Không,Không,Có,Không,Không,Mức 2,Bỏ
125,Không,Không,Có,Không,Không,Mức 1,Không
126,Không,Không,Có,Không,Không,Không,Không
127,Không,Không,Không,Có,Mức 2,Mức 2,Không
128,Không,Không,Không,Có,Mức 2,Mức 1,Không
129,Không,Không,Không,Có,Mức 2,Không,Không
130,Không,Không,Không,Có,Mức 1,Mức 2,Không
131,Không,Không,Không,Có,Mức 1,Mức 1,Không
132,Không,Không,Không,Có,Mức 1,Không,Không
133,Không,Không,Không,Có,Không,Mức 2,Bỏ
134,Không,Không,Không,Có,Không,Mức 1,Không
135,Không,Không,Không,Có,Không,Không,Không
136,Không,Không,Không,Không,Mức 2,Mức 2,Không
137,Không,Không,Không,Không,Mức 2,Mức 1,Không
138,Không,Không,Không,Không,Mức 2,Không,Không
139,Không,Không,Không,Không,Mức 1,Mức 2,Không
140,Không,Không,Không,Không,Mức 1,Mức 1,Không
141,Không,Không,Không,Không,Mức 1,Không,Không
142,Không,Không,Không,Không,Không,Mức 2,Bỏ
143,Không,Không,Không,Không,Không,Mức 1,Không
144,Không,Không,Không,Không,Không,Không,Không
